mal_id,title_eng,title_jap,episodes,year,image,trailer
45556,Scissor Seven (2021),伍六七之玄武国篇,10,2021,https://cdn.myanimelist.net/images/anime/1884/111224.webp,
45577,IDOLISH7 Third BEAT!,アイドリッシュセブン Third BEAT!,13,2021,https://cdn.myanimelist.net/images/anime/1646/115723.webp,https://www.youtube.com/watch?v=N6ppbbFucIQ
45649,,THE FIRST SLAM DUNK,1,2022,https://cdn.myanimelist.net/images/anime/1745/129284.webp,https://www.youtube.com/watch?v=9o7-Cgetho4
46422,Sacrificial Princess and the King of Beasts,贄姫と獣の王,24,2023,https://cdn.myanimelist.net/images/anime/1397/133339.webp,https://www.youtube.com/watch?v=xXGMz4KNymc
46654,IDOLiSH7 Third BEAT! Part 2,アイドリッシュセブン,17,2022,https://cdn.myanimelist.net/images/anime/1458/125998.webp,https://www.youtube.com/watch?v=Au9jYd7qOH0
47794,MILGRAM,ミルグラム,,2020,https://cdn.myanimelist.net/images/anime/1497/112023.webp,https://www.youtube.com/watch?v=ANtJ_kpPKsc
48411,,ARIA The BENEDIZIONE,1,2021,https://cdn.myanimelist.net/images/anime/1707/117069.webp,https://www.youtube.com/watch?v=kPDa4vuUbV4
48653,Racing into the Night,夜に駆ける,1,2019,https://cdn.myanimelist.net/images/anime/1548/124083.webp,
49053,given - on the other hand,ギヴン うらがわの存在,1,2021,https://cdn.myanimelist.net/images/anime/1031/115154.webp,https://www.youtube.com/watch?v=CN4vcq9RUzk
49320,Detective Conan Movie 25: The Bride of Halloween,名探偵コナン ハロウィンの花嫁,1,2022,https://cdn.myanimelist.net/images/anime/1744/120789.webp,https://www.youtube.com/watch?v=HTRrw7S7KoI
49521,Non Non Biyori Nonstop: Our Club Worked Hard,のんのんびより のんすとっぷ 部活をがんばった,1,2022,https://cdn.myanimelist.net/images/anime/1984/120788.webp,
49571,Swallowed Star 2nd Season,吞噬星空 第二季,26,2021,https://cdn.myanimelist.net/images/anime/1558/117008.webp,
49590,The Tatami Time Machine Blues,四畳半タイムマシンブルース,6,2022,https://cdn.myanimelist.net/images/anime/1583/126128.webp,https://www.youtube.com/watch?v=FY9ZH_KwSWE
49701,Fights Break Sphere: Three Year Agreement,斗破苍穹 三年之约,13,2021,https://cdn.myanimelist.net/images/anime/1029/118861.webp,
49722,Teasing Master Takagi-san: The Movie,からかい上手の高木さん,1,2022,https://cdn.myanimelist.net/images/anime/1376/123398.webp,https://www.youtube.com/watch?v=PesTvkh1nh4
50160,Kingdom: Season 4,キングダム 第4シリーズ,26,2022,https://cdn.myanimelist.net/images/anime/1566/122794.webp,https://www.youtube.com/watch?v=qv8eDYnEIQ4
